Date;Daily Confirmed
23.01.2020 00:00:00;1
24.01.2020 00:00:00;2
25.01.2020 00:00:00;1
26.01.2020 00:00:00;0
27.01.2020 00:00:00;1
28.01.2020 00:00:00;2
29.01.2020 00:00:00;3
30.01.2020 00:00:00;3
31.01.2020 00:00:00;3
01.02.2020 00:00:00;2
02.02.2020 00:00:00;0
03.02.2020 00:00:00;0
04.02.2020 00:00:00;6
05.02.2020 00:00:00;4
06.02.2020 00:00:00;2
07.02.2020 00:00:00;3
08.02.2020 00:00:00;7
09.02.2020 00:00:00;3
10.02.2020 00:00:00;2
11.02.2020 00:00:00;2
12.02.2020 00:00:00;3
13.02.2020 00:00:00;8
14.02.2020 00:00:00;9
15.02.2020 00:00:00;5
16.02.2020 00:00:00;3
17.02.2020 00:00:00;2
18.02.2020 00:00:00;4
19.02.2020 00:00:00;3
20.02.2020 00:00:00;1
21.02.2020 00:00:00;1
22.02.2020 00:00:00;3
23.02.2020 00:00:00;0
24.02.2020 00:00:00;1
25.02.2020 00:00:00;1
26.02.2020 00:00:00;2
27.02.2020 00:00:00;3
28.02.2020 00:00:00;2
29.02.2020 00:00:00;4
01.03.2020 00:00:00;4
02.03.2020 00:00:00;2
03.03.2020 00:00:00;2
04.03.2020 00:00:00;2
05.03.2020 00:00:00;5
06.03.2020 00:00:00;13
07.03.2020 00:00:00;8
08.03.2020 00:00:00;12
09.03.2020 00:00:00;10
10.03.2020 00:00:00;6
11.03.2020 00:00:00;12
12.03.2020 00:00:00;9
13.03.2020 00:00:00;13
14.03.2020 00:00:00;12
15.03.2020 00:00:00;14
16.03.2020 00:00:00;17
17.03.2020 00:00:00;23
18.03.2020 00:00:00;47
19.03.2020 00:00:00;32
20.03.2020 00:00:00;40
21.03.2020 00:00:00;47
22.03.2020 00:00:00;23
23.03.2020 00:00:00;54
24.03.2020 00:00:00;49
25.03.2020 00:00:00;73
26.03.2020 00:00:00;52
27.03.2020 00:00:00;49
28.03.2020 00:00:00;70
29.03.2020 00:00:00;42
30.03.2020 00:00:00;35
31.03.2020 00:00:00;47
01.04.2020 00:00:00;74
02.04.2020 00:00:00;49
03.04.2020 00:00:00;65
04.04.2020 00:00:00;75
05.04.2020 00:00:00;120
06.04.2020 00:00:00;66
07.04.2020 00:00:00;106
08.04.2020 00:00:00;142
09.04.2020 00:00:00;287
10.04.2020 00:00:00;198
11.04.2020 00:00:00;191
12.04.2020 00:00:00;233
13.04.2020 00:00:00;386
14.04.2020 00:00:00;334
15.04.2020 00:00:00;447
16.04.2020 00:00:00;728
17.04.2020 00:00:00;623
18.04.2020 00:00:00;942
19.04.2020 00:00:00;596
20.04.2020 00:00:00;1426
21.04.2020 00:00:00;1111
22.04.2020 00:00:00;1016
23.04.2020 00:00:00;1037
24.04.2020 00:00:00;897
25.04.2020 00:00:00;618
26.04.2020 00:00:00;931
27.04.2020 00:00:00;799
28.04.2020 00:00:00;528
29.04.2020 00:00:00;690
30.04.2020 00:00:00;528
01.05.2020 00:00:00;932
02.05.2020 00:00:00;447
03.05.2020 00:00:00;657
04.05.2020 00:00:00;573
05.05.2020 00:00:00;632
06.05.2020 00:00:00;788
07.05.2020 00:00:00;741
08.05.2020 00:00:00;768
09.05.2020 00:00:00;753
10.05.2020 00:00:00;876
11.05.2020 00:00:00;486
12.05.2020 00:00:00;884
13.05.2020 00:00:00;675
14.05.2020 00:00:00;752
15.05.2020 00:00:00;793
16.05.2020 00:00:00;465
17.05.2020 00:00:00;682
18.05.2020 00:00:00;305
19.05.2020 00:00:00;451
20.05.2020 00:00:00;570
21.05.2020 00:00:00;448
22.05.2020 00:00:00;614
23.05.2020 00:00:00;642
24.05.2020 00:00:00;548
25.05.2020 00:00:00;344
26.05.2020 00:00:00;383
27.05.2020 00:00:00;533
28.05.2020 00:00:00;373
29.05.2020 00:00:00;611
30.05.2020 00:00:00;506
31.05.2020 00:00:00;518
01.06.2020 00:00:00;408
02.06.2020 00:00:00;544
03.06.2020 00:00:00;569
04.06.2020 00:00:00;517
05.06.2020 00:00:00;261
06.06.2020 00:00:00;344
07.06.2020 00:00:00;383
08.06.2020 00:00:00;386
09.06.2020 00:00:00;218
10.06.2020 00:00:00;451
11.06.2020 00:00:00;422
12.06.2020 00:00:00;463
13.06.2020 00:00:00;347
14.06.2020 00:00:00;407
15.06.2020 00:00:00;214
16.06.2020 00:00:00;151
17.06.2020 00:00:00;247
18.06.2020 00:00:00;257
19.06.2020 00:00:00;142
20.06.2020 00:00:00;218
21.06.2020 00:00:00;262
22.06.2020 00:00:00;218
23.06.2020 00:00:00;119
24.06.2020 00:00:00;191
25.06.2020 00:00:00;113
26.06.2020 00:00:00;219
27.06.2020 00:00:00;291
28.06.2020 00:00:00;213
29.06.2020 00:00:00;202
30.06.2020 00:00:00;246
01.07.2020 00:00:00;215
02.07.2020 00:00:00;188
03.07.2020 00:00:00;169
04.07.2020 00:00:00;185
05.07.2020 00:00:00;136
06.07.2020 00:00:00;183
07.07.2020 00:00:00;157
08.07.2020 00:00:00;158
09.07.2020 00:00:00;125
10.07.2020 00:00:00;191
11.07.2020 00:00:00;170
12.07.2020 00:00:00;178
13.07.2020 00:00:00;322
14.07.2020 00:00:00;347
15.07.2020 00:00:00;249
16.07.2020 00:00:00;248
17.07.2020 00:00:00;327
18.07.2020 00:00:00;202
19.07.2020 00:00:00;257
20.07.2020 00:00:00;123
21.07.2020 00:00:00;399
22.07.2020 00:00:00;310
23.07.2020 00:00:00;354
24.07.2020 00:00:00;277
25.07.2020 00:00:00;513
26.07.2020 00:00:00;481
27.07.2020 00:00:00;469
28.07.2020 00:00:00;359
29.07.2020 00:00:00;334
30.07.2020 00:00:00;278
31.07.2020 00:00:00;396
01.08.2020 00:00:00;307
02.08.2020 00:00:00;313
03.08.2020 00:00:00;226
04.08.2020 00:00:00;295
05.08.2020 00:00:00;908
06.08.2020 00:00:00;301
07.08.2020 00:00:00;242
08.08.2020 00:00:00;132
09.08.2020 00:00:00;175
10.08.2020 00:00:00;188
11.08.2020 00:00:00;61
12.08.2020 00:00:00;42
13.08.2020 00:00:00;102
14.08.2020 00:00:00;83
15.08.2020 00:00:00;81
16.08.2020 00:00:00;86
17.08.2020 00:00:00;91
18.08.2020 00:00:00;100
19.08.2020 00:00:00;93
20.08.2020 00:00:00;68
21.08.2020 00:00:00;117
22.08.2020 00:00:00;50
23.08.2020 00:00:00;87
24.08.2020 00:00:00;51
25.08.2020 00:00:00;31
26.08.2020 00:00:00;60
27.08.2020 00:00:00;77
28.08.2020 00:00:00;94
29.08.2020 00:00:00;51
30.08.2020 00:00:00;54
31.08.2020 00:00:00;41
01.09.2020 00:00:00;40
02.09.2020 00:00:00;49
03.09.2020 00:00:00;48
04.09.2020 00:00:00;40
05.09.2020 00:00:00;34
06.09.2020 00:00:00;40
07.09.2020 00:00:00;22
08.09.2020 00:00:00;47
09.09.2020 00:00:00;75
10.09.2020 00:00:00;63
11.09.2020 00:00:00;86
12.09.2020 00:00:00;42
13.09.2020 00:00:00;49
14.09.2020 00:00:00;48
15.09.2020 00:00:00;34
16.09.2020 00:00:00;27
17.09.2020 00:00:00;18
18.09.2020 00:00:00;11
19.09.2020 00:00:00;15
20.09.2020 00:00:00;18
21.09.2020 00:00:00;31
22.09.2020 00:00:00;21
23.09.2020 00:00:00;12
24.09.2020 00:00:00;15
25.09.2020 00:00:00;11
26.09.2020 00:00:00;20
27.09.2020 00:00:00;15
28.09.2020 00:00:00;15
29.09.2020 00:00:00;27
30.09.2020 00:00:00;23
01.10.2020 00:00:00;19
02.10.2020 00:00:00;10
03.10.2020 00:00:00;6
04.10.2020 00:00:00;12
05.10.2020 00:00:00;7
06.10.2020 00:00:00;11
07.10.2020 00:00:00;10
08.10.2020 00:00:00;9
09.10.2020 00:00:00;10
10.10.2020 00:00:00;7
11.10.2020 00:00:00;10
12.10.2020 00:00:00;4
13.10.2020 00:00:00;4
14.10.2020 00:00:00;5
15.10.2020 00:00:00;3
16.10.2020 00:00:00;9
17.10.2020 00:00:00;3
18.10.2020 00:00:00;7
19.10.2020 00:00:00;4
20.10.2020 00:00:00;6
21.10.2020 00:00:00;12
22.10.2020 00:00:00;8
23.10.2020 00:00:00;10
24.10.2020 00:00:00;14
25.10.2020 00:00:00;5
26.10.2020 00:00:00;3
27.10.2020 00:00:00;7
28.10.2020 00:00:00;7
29.10.2020 00:00:00;7
30.10.2020 00:00:00;9
31.10.2020 00:00:00;12
01.11.2020 00:00:00;4
02.11.2020 00:00:00;1
03.11.2020 00:00:00;9
04.11.2020 00:00:00;7
05.11.2020 00:00:00;7
06.11.2020 00:00:00;4
07.11.2020 00:00:00;7
08.11.2020 00:00:00;2
09.11.2020 00:00:00;8
10.11.2020 00:00:00;9
11.11.2020 00:00:00;18
12.11.2020 00:00:00;11
13.11.2020 00:00:00;12
14.11.2020 00:00:00;2
15.11.2020 00:00:00;3
16.11.2020 00:00:00;5
17.11.2020 00:00:00;6
18.11.2020 00:00:00;5
19.11.2020 00:00:00;4
20.11.2020 00:00:00;4
21.11.2020 00:00:00;5
22.11.2020 00:00:00;12
23.11.2020 00:00:00;5
24.11.2020 00:00:00;18
