Date;Cumulative Confirmed
23.01.2020 00:00:00;1
24.01.2020 00:00:00;3
25.01.2020 00:00:00;4
26.01.2020 00:00:00;4
27.01.2020 00:00:00;5
28.01.2020 00:00:00;7
29.01.2020 00:00:00;10
30.01.2020 00:00:00;13
31.01.2020 00:00:00;16
01.02.2020 00:00:00;18
02.02.2020 00:00:00;18
03.02.2020 00:00:00;18
04.02.2020 00:00:00;24
05.02.2020 00:00:00;28
06.02.2020 00:00:00;30
07.02.2020 00:00:00;33
08.02.2020 00:00:00;40
09.02.2020 00:00:00;43
10.02.2020 00:00:00;45
11.02.2020 00:00:00;47
12.02.2020 00:00:00;50
13.02.2020 00:00:00;58
14.02.2020 00:00:00;67
15.02.2020 00:00:00;72
16.02.2020 00:00:00;75
17.02.2020 00:00:00;77
18.02.2020 00:00:00;81
19.02.2020 00:00:00;84
20.02.2020 00:00:00;85
21.02.2020 00:00:00;86
22.02.2020 00:00:00;89
23.02.2020 00:00:00;89
24.02.2020 00:00:00;90
25.02.2020 00:00:00;91
26.02.2020 00:00:00;93
27.02.2020 00:00:00;96
28.02.2020 00:00:00;98
29.02.2020 00:00:00;102
01.03.2020 00:00:00;106
02.03.2020 00:00:00;108
03.03.2020 00:00:00;110
04.03.2020 00:00:00;112
05.03.2020 00:00:00;117
06.03.2020 00:00:00;130
07.03.2020 00:00:00;138
08.03.2020 00:00:00;150
09.03.2020 00:00:00;160
10.03.2020 00:00:00;166
11.03.2020 00:00:00;178
12.03.2020 00:00:00;187
13.03.2020 00:00:00;200
14.03.2020 00:00:00;212
15.03.2020 00:00:00;226
16.03.2020 00:00:00;243
17.03.2020 00:00:00;266
18.03.2020 00:00:00;313
19.03.2020 00:00:00;345
20.03.2020 00:00:00;385
21.03.2020 00:00:00;432
22.03.2020 00:00:00;455
23.03.2020 00:00:00;509
24.03.2020 00:00:00;558
25.03.2020 00:00:00;631
26.03.2020 00:00:00;683
27.03.2020 00:00:00;732
28.03.2020 00:00:00;802
29.03.2020 00:00:00;844
30.03.2020 00:00:00;879
31.03.2020 00:00:00;926
01.04.2020 00:00:00;1000
02.04.2020 00:00:00;1049
03.04.2020 00:00:00;1114
04.04.2020 00:00:00;1189
05.04.2020 00:00:00;1309
06.04.2020 00:00:00;1375
07.04.2020 00:00:00;1481
08.04.2020 00:00:00;1623
09.04.2020 00:00:00;1910
10.04.2020 00:00:00;2108
11.04.2020 00:00:00;2299
12.04.2020 00:00:00;2532
13.04.2020 00:00:00;2918
14.04.2020 00:00:00;3252
15.04.2020 00:00:00;3699
16.04.2020 00:00:00;4427
17.04.2020 00:00:00;5050
18.04.2020 00:00:00;5992
19.04.2020 00:00:00;6588
20.04.2020 00:00:00;8014
21.04.2020 00:00:00;9125
22.04.2020 00:00:00;10141
23.04.2020 00:00:00;11178
24.04.2020 00:00:00;12075
25.04.2020 00:00:00;12693
26.04.2020 00:00:00;13624
27.04.2020 00:00:00;14423
28.04.2020 00:00:00;14951
29.04.2020 00:00:00;15641
30.04.2020 00:00:00;16169
01.05.2020 00:00:00;17101
02.05.2020 00:00:00;17548
03.05.2020 00:00:00;18205
04.05.2020 00:00:00;18778
05.05.2020 00:00:00;19410
06.05.2020 00:00:00;20198
07.05.2020 00:00:00;20939
08.05.2020 00:00:00;21707
09.05.2020 00:00:00;22460
10.05.2020 00:00:00;23336
11.05.2020 00:00:00;23787
12.05.2020 00:00:00;24671
13.05.2020 00:00:00;25346
14.05.2020 00:00:00;26098
15.05.2020 00:00:00;26891
16.05.2020 00:00:00;27356
17.05.2020 00:00:00;28038
18.05.2020 00:00:00;28343
19.05.2020 00:00:00;28794
20.05.2020 00:00:00;29364
21.05.2020 00:00:00;29812
22.05.2020 00:00:00;30426
23.05.2020 00:00:00;31068
24.05.2020 00:00:00;31616
25.05.2020 00:00:00;31960
26.05.2020 00:00:00;32343
27.05.2020 00:00:00;32876
28.05.2020 00:00:00;33249
29.05.2020 00:00:00;33860
30.05.2020 00:00:00;34366
31.05.2020 00:00:00;34884
01.06.2020 00:00:00;35292
02.06.2020 00:00:00;35836
03.06.2020 00:00:00;36405
04.06.2020 00:00:00;36922
05.06.2020 00:00:00;37183
06.06.2020 00:00:00;37527
07.06.2020 00:00:00;37910
08.06.2020 00:00:00;38296
09.06.2020 00:00:00;38514
10.06.2020 00:00:00;38965
11.06.2020 00:00:00;39387
12.06.2020 00:00:00;39850
13.06.2020 00:00:00;40197
14.06.2020 00:00:00;40604
15.06.2020 00:00:00;40818
16.06.2020 00:00:00;40969
17.06.2020 00:00:00;41216
18.06.2020 00:00:00;41473
19.06.2020 00:00:00;41615
20.06.2020 00:00:00;41833
21.06.2020 00:00:00;42095
22.06.2020 00:00:00;42313
23.06.2020 00:00:00;42432
24.06.2020 00:00:00;42623
25.06.2020 00:00:00;42736
26.06.2020 00:00:00;42955
27.06.2020 00:00:00;43246
28.06.2020 00:00:00;43459
29.06.2020 00:00:00;43661
30.06.2020 00:00:00;43907
01.07.2020 00:00:00;44122
02.07.2020 00:00:00;44310
03.07.2020 00:00:00;44479
04.07.2020 00:00:00;44664
05.07.2020 00:00:00;44800
06.07.2020 00:00:00;44983
07.07.2020 00:00:00;45140
08.07.2020 00:00:00;45297
09.07.2020 00:00:00;45422
10.07.2020 00:00:00;45612
11.07.2020 00:00:00;45782
12.07.2020 00:00:00;45960
13.07.2020 00:00:00;46282
14.07.2020 00:00:00;46629
15.07.2020 00:00:00;46878
16.07.2020 00:00:00;47126
17.07.2020 00:00:00;47453
18.07.2020 00:00:00;47655
19.07.2020 00:00:00;47912
20.07.2020 00:00:00;48035
21.07.2020 00:00:00;48434
22.07.2020 00:00:00;48744
23.07.2020 00:00:00;49098
24.07.2020 00:00:00;49375
25.07.2020 00:00:00;49888
26.07.2020 00:00:00;50369
27.07.2020 00:00:00;50838
28.07.2020 00:00:00;51197
29.07.2020 00:00:00;51531
30.07.2020 00:00:00;51809
31.07.2020 00:00:00;52205
01.08.2020 00:00:00;52512
02.08.2020 00:00:00;52825
03.08.2020 00:00:00;53051
04.08.2020 00:00:00;53346
05.08.2020 00:00:00;54254
06.08.2020 00:00:00;54555
07.08.2020 00:00:00;54797
08.08.2020 00:00:00;54929
09.08.2020 00:00:00;55104
10.08.2020 00:00:00;55292
11.08.2020 00:00:00;55353
12.08.2020 00:00:00;55395
13.08.2020 00:00:00;55497
14.08.2020 00:00:00;55580
15.08.2020 00:00:00;55661
16.08.2020 00:00:00;55747
17.08.2020 00:00:00;55838
18.08.2020 00:00:00;55938
19.08.2020 00:00:00;56031
20.08.2020 00:00:00;56099
21.08.2020 00:00:00;56216
22.08.2020 00:00:00;56266
23.08.2020 00:00:00;56353
24.08.2020 00:00:00;56404
25.08.2020 00:00:00;56435
26.08.2020 00:00:00;56495
27.08.2020 00:00:00;56572
28.08.2020 00:00:00;56666
29.08.2020 00:00:00;56717
30.08.2020 00:00:00;56771
31.08.2020 00:00:00;56812
01.09.2020 00:00:00;56852
02.09.2020 00:00:00;56860
03.09.2020 00:00:00;56908
04.09.2020 00:00:00;56948
05.09.2020 00:00:00;56982
06.09.2020 00:00:00;57022
07.09.2020 00:00:00;57044
08.09.2020 00:00:00;57091
09.09.2020 00:00:00;57166
10.09.2020 00:00:00;57229
11.09.2020 00:00:00;57315
12.09.2020 00:00:00;57357
13.09.2020 00:00:00;57406
14.09.2020 00:00:00;57454
15.09.2020 00:00:00;57488
16.09.2020 00:00:00;57514
17.09.2020 00:00:00;57532
18.09.2020 00:00:00;57543
19.09.2020 00:00:00;57558
20.09.2020 00:00:00;57576
21.09.2020 00:00:00;57606
22.09.2020 00:00:00;57627
23.09.2020 00:00:00;57639
24.09.2020 00:00:00;57654
25.09.2020 00:00:00;57665
26.09.2020 00:00:00;57685
27.09.2020 00:00:00;57700
28.09.2020 00:00:00;57715
29.09.2020 00:00:00;57742
30.09.2020 00:00:00;57765
01.10.2020 00:00:00;57784
02.10.2020 00:00:00;57794
03.10.2020 00:00:00;57800
04.10.2020 00:00:00;57812
05.10.2020 00:00:00;57819
06.10.2020 00:00:00;57830
07.10.2020 00:00:00;57840
08.10.2020 00:00:00;57849
09.10.2020 00:00:00;57859
10.10.2020 00:00:00;57866
11.10.2020 00:00:00;57876
12.10.2020 00:00:00;57880
13.10.2020 00:00:00;57884
14.10.2020 00:00:00;57889
15.10.2020 00:00:00;57892
16.10.2020 00:00:00;57901
17.10.2020 00:00:00;57904
18.10.2020 00:00:00;57911
19.10.2020 00:00:00;57915
20.10.2020 00:00:00;57921
21.10.2020 00:00:00;57933
22.10.2020 00:00:00;57941
23.10.2020 00:00:00;57951
24.10.2020 00:00:00;57965
25.10.2020 00:00:00;57970
26.10.2020 00:00:00;57973
27.10.2020 00:00:00;57980
28.10.2020 00:00:00;57987
29.10.2020 00:00:00;57994
30.10.2020 00:00:00;58003
31.10.2020 00:00:00;58015
01.11.2020 00:00:00;58019
02.11.2020 00:00:00;58020
03.11.2020 00:00:00;58029
04.11.2020 00:00:00;58036
