Datum;Gesamt (Netzlast)[MWh]
01.04.2021 00:00:00;12120
01.04.2021 00:15:00;11950
01.04.2021 00:30:00;11814
01.04.2021 00:45:00;11676
01.04.2021 01:00:00;11414
01.04.2021 01:15:00;11332
01.04.2021 01:30:00;11269
01.04.2021 01:45:00;11249
01.04.2021 02:00:00;11100
01.04.2021 02:15:00;11121
01.04.2021 02:30:00;11108
01.04.2021 02:45:00;11165
01.04.2021 03:00:00;11101
01.04.2021 03:15:00;11134
01.04.2021 03:30:00;11204
01.04.2021 03:45:00;11272
01.04.2021 04:00:00;11383
01.04.2021 04:15:00;11569
01.04.2021 04:30:00;11698
01.04.2021 04:45:00;11806
01.04.2021 05:00:00;12093
01.04.2021 05:15:00;12194
01.04.2021 05:30:00;12453
01.04.2021 05:45:00;12865
01.04.2021 06:00:00;13574
01.04.2021 06:15:00;13859
01.04.2021 06:30:00;14190
01.04.2021 06:45:00;14429
01.04.2021 07:00:00;14830
01.04.2021 07:15:00;15057
01.04.2021 07:30:00;15252
01.04.2021 07:45:00;15513
01.04.2021 08:00:00;15729
01.04.2021 08:15:00;15887
01.04.2021 08:30:00;16041
01.04.2021 08:45:00;16118
01.04.2021 09:00:00;16038
01.04.2021 09:15:00;16124
01.04.2021 09:30:00;16225
01.04.2021 09:45:00;16403
01.04.2021 10:00:00;16423
01.04.2021 10:15:00;16489
01.04.2021 10:30:00;16555
01.04.2021 10:45:00;16564
01.04.2021 11:00:00;16665
01.04.2021 11:15:00;16734
01.04.2021 11:30:00;16839
01.04.2021 11:45:00;16799
01.04.2021 12:00:00;16652
01.04.2021 12:15:00;16630
01.04.2021 12:30:00;16679
01.04.2021 12:45:00;16544
01.04.2021 13:00:00;16450
01.04.2021 13:15:00;16321
01.04.2021 13:30:00;16191
01.04.2021 13:45:00;16130
01.04.2021 14:00:00;16045
01.04.2021 14:15:00;15993
01.04.2021 14:30:00;15940
01.04.2021 14:45:00;15760
01.04.2021 15:00:00;15727
01.04.2021 15:15:00;15695
01.04.2021 15:30:00;15483
01.04.2021 15:45:00;15401
01.04.2021 16:00:00;15450
01.04.2021 16:15:00;15382
01.04.2021 16:30:00;15245
01.04.2021 16:45:00;15245
01.04.2021 17:00:00;15310
01.04.2021 17:15:00;15352
01.04.2021 17:30:00;15354
01.04.2021 17:45:00;15260
01.04.2021 18:00:00;15286
01.04.2021 18:15:00;15277
01.04.2021 18:30:00;15279
01.04.2021 18:45:00;15354
01.04.2021 19:00:00;15364
01.04.2021 19:15:00;15262
01.04.2021 19:30:00;15259
01.04.2021 19:45:00;15240
01.04.2021 20:00:00;15234
01.04.2021 20:15:00;15155
01.04.2021 20:30:00;15071
01.04.2021 20:45:00;14898
01.04.2021 21:00:00;14626
01.04.2021 21:15:00;14395
01.04.2021 21:30:00;14079
01.04.2021 21:45:00;13852
01.04.2021 22:00:00;13696
01.04.2021 22:15:00;13454
01.04.2021 22:30:00;13178
01.04.2021 22:45:00;12944
01.04.2021 23:00:00;12642
01.04.2021 23:15:00;12402
01.04.2021 23:30:00;12197
01.04.2021 23:45:00;11974
02.04.2021 00:00:00;11675
02.04.2021 00:15:00;11440
02.04.2021 00:30:00;11360
02.04.2021 00:45:00;11217
02.04.2021 01:00:00;11092
02.04.2021 01:15:00;10902
02.04.2021 01:30:00;10869
02.04.2021 01:45:00;10815
02.04.2021 02:00:00;10635
02.04.2021 02:15:00;10626
02.04.2021 02:30:00;10578
02.04.2021 02:45:00;10569
02.04.2021 03:00:00;10506
02.04.2021 03:15:00;10523
02.04.2021 03:30:00;10545
02.04.2021 03:45:00;10539
02.04.2021 04:00:00;10609
02.04.2021 04:15:00;10583
02.04.2021 04:30:00;10610
02.04.2021 04:45:00;10559
02.04.2021 05:00:00;10500
02.04.2021 05:15:00;10487
02.04.2021 05:30:00;10449
02.04.2021 05:45:00;10375
02.04.2021 06:00:00;10469
02.04.2021 06:15:00;10527
02.04.2021 06:30:00;10516
02.04.2021 06:45:00;10485
02.04.2021 07:00:00;10591
02.04.2021 07:15:00;10718
02.04.2021 07:30:00;10920
02.04.2021 07:45:00;11107
02.04.2021 08:00:00;11387
02.04.2021 08:15:00;11567
02.04.2021 08:30:00;11842
02.04.2021 08:45:00;12060
02.04.2021 09:00:00;12279
02.04.2021 09:15:00;12540
02.04.2021 09:30:00;12738
02.04.2021 09:45:00;12970
02.04.2021 10:00:00;13163
02.04.2021 10:15:00;13352
02.04.2021 10:30:00;13494
02.04.2021 10:45:00;13629
02.04.2021 11:00:00;13632
02.04.2021 11:15:00;13868
02.04.2021 11:30:00;13980
02.04.2021 11:45:00;14019
02.04.2021 12:00:00;13939
02.04.2021 12:15:00;13901
02.04.2021 12:30:00;13968
